ID, Count
636, 3
637, 7
638, 0
639, 1
640, 11
641, 0
642, 4
643, 1
644, 7
645, 0
646, 6
647, 0
648, 0
649, 5
650, 18
651, 9
652, 11
653, 60
654, 291
655, 312
656, 8
657, 4
658, 12
659, 5
660, 12
661, 86
662, 10
663, 162
664, 111
665, 8
666, 8
667, 6
668, 0
669, 66
670, 11
671, 142
672, 15
673, 40
674, 9
675, 62
676, 126
677, 0
678, 4
679, 6
680, 6
681, 9
682, 146
683, 40
684, 162
685, 412
686, 0
687, 95
688, 363
689, 6
690, 6
691, 8
692, 123
693, 38
694, 12
695, 0
696, 0
697, 4
698, 54
699, 6
700, 8
701, 189
702, 291
703, 141
704, 0
705, 104
706, 116
707, 17
708, 6
709, 10
710, 81
711, 292
712, 60
713, 5
714, 3
715, 5
716, 0
717, 2
718, 203
719, 335
720, 253
721, 14
722, 0
723, 204
724, 429
725, 18
726, 25
727, 13
728, 6
729, 10
730, 79
731, 223
732, 12
733, 130
734, 4
735, 3
736, 14
737, 26
738, 0
739, 117
740, 30
741, 5
742, 91
743, 9
744, 40
745, 3
746, 7
747, 0
748, 19
749, 211
750, 4
751, 6
752, 9
753, 7
754, 1
755, 2
756, 0
757, 0
758, 172
759, 131
760, 4
761, 1
762, 8
763, 5
764, 10
765, 0
766, 1
767, 95
768, 114
769, 200
770, 1
771, 5
772, 5
773, 13
774, 114
775, 12
776, 0
777, 26
778, 1
779, 122
780, 5
781, 11
782, 15
783, 9
784, 457
785, 613
786, 0
787, 8
788, 110
789, 5
790, 15
791, 21
792, 17
793, 13
794, 125
795, 112
796, 4
797, 18
798, 115
799, 7
800, 7
801, 10
802, 10
803, 0
804, 0
805, 4
806, 4
807, 5
808, 23
809, 88
810, 6
811, 9
812, 0
