lon;lat
-5.000000;40.000000
-5.000000;40.034399
-5.000000;40.068780
-5.000000;40.103144
-5.000000;40.137491
-5.000000;40.171821
-5.000000;40.206133
-5.000000;40.240427
-5.000000;40.274705
-5.000000;40.308965
-5.000000;40.343207
-5.000000;40.377432
-5.000000;40.411640
-5.000000;40.445831
-5.000000;40.480004
-5.000000;40.514160
-5.000000;40.548298
-5.000000;40.582419
-5.000000;40.616522
-5.000000;40.650608
-5.000000;40.684677
-5.000000;40.718728
-5.000000;40.752762
-5.000000;40.786779
-5.000000;40.820778
-5.000000;40.854760
-5.000000;40.888724
-5.000000;40.922671
-5.000000;40.956600
-5.000000;40.990512
-4.955084;40.000000
-4.955084;40.034399
-4.955084;40.068780
-4.955084;40.103144
-4.955084;40.137491
-4.955084;40.171821
-4.955084;40.206133
-4.955084;40.240427
-4.955084;40.274705
-4.955084;40.308965
-4.955084;40.343207
-4.955084;40.377432
-4.955084;40.411640
-4.955084;40.445831
-4.955084;40.480004
-4.955084;40.514160
-4.955084;40.548298
-4.955084;40.582419
-4.955084;40.616522
-4.955084;40.650608
-4.955084;40.684677
-4.955084;40.718728
-4.955084;40.752762
-4.955084;40.786779
-4.955084;40.820778
-4.955084;40.854760
-4.955084;40.888724
-4.955084;40.922671
-4.955084;40.956600
-4.955084;40.990512
-4.910168;40.000000
-4.910168;40.034399
-4.910168;40.068780
-4.910168;40.103144
-4.910168;40.137491
-4.910168;40.171821
-4.910168;40.206133
-4.910168;40.240427
-4.910168;40.274705
-4.910168;40.308965
-4.910168;40.343207
-4.910168;40.377432
-4.910168;40.411640
-4.910168;40.445831
-4.910168;40.480004
-4.910168;40.514160
-4.910168;40.548298
-4.910168;40.582419
-4.910168;40.616522
-4.910168;40.650608
-4.910168;40.684677
-4.910168;40.718728
-4.910168;40.752762
-4.910168;40.786779
-4.910168;40.820778
-4.910168;40.854760
-4.910168;40.888724
-4.910168;40.922671
-4.910168;40.956600
-4.910168;40.990512
-4.865253;40.000000
-4.865253;40.034399
-4.865253;40.068780
-4.865253;40.103144
-4.865253;40.137491
-4.865253;40.171821
-4.865253;40.206133
-4.865253;40.240427
-4.865253;40.274705
-4.865253;40.308965
-4.865253;40.343207
-4.865253;40.377432
-4.865253;40.411640
-4.865253;40.445831
-4.865253;40.480004
-4.865253;40.514160
-4.865253;40.548298
-4.865253;40.582419
-4.865253;40.616522
-4.865253;40.650608
-4.865253;40.684677
-4.865253;40.718728
-4.865253;40.752762
-4.865253;40.786779
-4.865253;40.820778
-4.865253;40.854760
-4.865253;40.888724
-4.865253;40.922671
-4.865253;40.956600
-4.865253;40.990512
-4.820337;40.000000
-4.820337;40.034399
-4.820337;40.068780
-4.820337;40.103144
-4.820337;40.137491
-4.820337;40.171821
-4.820337;40.206133
-4.820337;40.240427
-4.820337;40.274705
-4.820337;40.308965
-4.820337;40.343207
-4.820337;40.377432
-4.820337;40.411640
-4.820337;40.445831
-4.820337;40.480004
-4.820337;40.514160
-4.820337;40.548298
-4.820337;40.582419
-4.820337;40.616522
-4.820337;40.650608
-4.820337;40.684677
-4.820337;40.718728
-4.820337;40.752762
-4.820337;40.786779
-4.820337;40.820778
-4.820337;40.854760
-4.820337;40.888724
-4.820337;40.922671
-4.820337;40.956600
-4.820337;40.990512
-4.775421;40.000000
-4.775421;40.034399
-4.775421;40.068780
-4.775421;40.103144
-4.775421;40.137491
-4.775421;40.171821
-4.775421;40.206133
-4.775421;40.240427
-4.775421;40.274705
-4.775421;40.308965
-4.775421;40.343207
-4.775421;40.377432
-4.775421;40.411640
-4.775421;40.445831
-4.775421;40.480004
-4.775421;40.514160
-4.775421;40.548298
-4.775421;40.582419
-4.775421;40.616522
-4.775421;40.650608
-4.775421;40.684677
-4.775421;40.718728
-4.775421;40.752762
-4.775421;40.786779
-4.775421;40.820778
-4.775421;40.854760
-4.775421;40.888724
-4.775421;40.922671
-4.775421;40.956600
-4.775421;40.990512
-4.730505;40.000000
-4.730505;40.034399
-4.730505;40.068780
-4.730505;40.103144
-4.730505;40.137491
-4.730505;40.171821
-4.730505;40.206133
-4.730505;40.240427
-4.730505;40.274705
-4.730505;40.308965
-4.730505;40.343207
-4.730505;40.377432
-4.730505;40.411640
-4.730505;40.445831
-4.730505;40.480004
-4.730505;40.514160
-4.730505;40.548298
-4.730505;40.582419
-4.730505;40.616522
-4.730505;40.650608
-4.730505;40.684677
-4.730505;40.718728
-4.730505;40.752762
-4.730505;40.786779
-4.730505;40.820778
-4.730505;40.854760
-4.730505;40.888724
-4.730505;40.922671
-4.730505;40.956600
-4.730505;40.990512
-4.685590;40.000000
-4.685590;40.034399
-4.685590;40.068780
-4.685590;40.103144
-4.685590;40.137491
-4.685590;40.171821
-4.685590;40.206133
-4.685590;40.240427
-4.685590;40.274705
-4.685590;40.308965
-4.685590;40.343207
-4.685590;40.377432
-4.685590;40.411640
-4.685590;40.445831
-4.685590;40.480004
-4.685590;40.514160
-4.685590;40.548298
-4.685590;40.582419
-4.685590;40.616522
-4.685590;40.650608
-4.685590;40.684677
-4.685590;40.718728
-4.685590;40.752762
-4.685590;40.786779
-4.685590;40.820778
-4.685590;40.854760
-4.685590;40.888724
-4.685590;40.922671
-4.685590;40.956600
-4.685590;40.990512
-4.640674;40.000000
-4.640674;40.034399
-4.640674;40.068780
-4.640674;40.103144
-4.640674;40.137491
-4.640674;40.171821
-4.640674;40.206133
-4.640674;40.240427
-4.640674;40.274705
-4.640674;40.308965
-4.640674;40.343207
-4.640674;40.377432
-4.640674;40.411640
-4.640674;40.445831
-4.640674;40.480004
-4.640674;40.514160
-4.640674;40.548298
-4.640674;40.582419
-4.640674;40.616522
-4.640674;40.650608
-4.640674;40.684677
-4.640674;40.718728
-4.640674;40.752762
-4.640674;40.786779
-4.640674;40.820778
-4.640674;40.854760
-4.640674;40.888724
-4.640674;40.922671
-4.640674;40.956600
-4.640674;40.990512
-4.595758;40.000000
-4.595758;40.034399
-4.595758;40.068780
-4.595758;40.103144
-4.595758;40.137491
-4.595758;40.171821
-4.595758;40.206133
-4.595758;40.240427
-4.595758;40.274705
-4.595758;40.308965
-4.595758;40.343207
-4.595758;40.377432
-4.595758;40.411640
-4.595758;40.445831
-4.595758;40.480004
-4.595758;40.514160
-4.595758;40.548298
-4.595758;40.582419
-4.595758;40.616522
-4.595758;40.650608
-4.595758;40.684677
-4.595758;40.718728
-4.595758;40.752762
-4.595758;40.786779
-4.595758;40.820778
-4.595758;40.854760
-4.595758;40.888724
-4.595758;40.922671
-4.595758;40.956600
-4.595758;40.990512
-4.550842;40.000000
-4.550842;40.034399
-4.550842;40.068780
-4.550842;40.103144
-4.550842;40.137491
-4.550842;40.171821
-4.550842;40.206133
-4.550842;40.240427
-4.550842;40.274705
-4.550842;40.308965
-4.550842;40.343207
-4.550842;40.377432
-4.550842;40.411640
-4.550842;40.445831
-4.550842;40.480004
-4.550842;40.514160
-4.550842;40.548298
-4.550842;40.582419
-4.550842;40.616522
-4.550842;40.650608
-4.550842;40.684677
-4.550842;40.718728
-4.550842;40.752762
-4.550842;40.786779
-4.550842;40.820778
-4.550842;40.854760
-4.550842;40.888724
-4.550842;40.922671
-4.550842;40.956600
-4.550842;40.990512
-4.505927;40.000000
-4.505927;40.034399
-4.505927;40.068780
-4.505927;40.103144
-4.505927;40.137491
-4.505927;40.171821
-4.505927;40.206133
-4.505927;40.240427
-4.505927;40.274705
-4.505927;40.308965
-4.505927;40.343207
-4.505927;40.377432
-4.505927;40.411640
-4.505927;40.445831
-4.505927;40.480004
-4.505927;40.514160
-4.505927;40.548298
-4.505927;40.582419
-4.505927;40.616522
-4.505927;40.650608
-4.505927;40.684677
-4.505927;40.718728
-4.505927;40.752762
-4.505927;40.786779
-4.505927;40.820778
-4.505927;40.854760
-4.505927;40.888724
-4.505927;40.922671
-4.505927;40.956600
-4.505927;40.990512
-4.461011;40.000000
-4.461011;40.034399
-4.461011;40.068780
-4.461011;40.103144
-4.461011;40.137491
-4.461011;40.171821
-4.461011;40.206133
-4.461011;40.240427
-4.461011;40.274705
-4.461011;40.308965
-4.461011;40.343207
-4.461011;40.377432
-4.461011;40.411640
-4.461011;40.445831
-4.461011;40.480004
-4.461011;40.514160
-4.461011;40.548298
-4.461011;40.582419
-4.461011;40.616522
-4.461011;40.650608
-4.461011;40.684677
-4.461011;40.718728
-4.461011;40.752762
-4.461011;40.786779
-4.461011;40.820778
-4.461011;40.854760
-4.461011;40.888724
-4.461011;40.922671
-4.461011;40.956600
-4.461011;40.990512
-4.416095;40.000000
-4.416095;40.034399
-4.416095;40.068780
-4.416095;40.103144
-4.416095;40.137491
-4.416095;40.171821
-4.416095;40.206133
-4.416095;40.240427
-4.416095;40.274705
-4.416095;40.308965
-4.416095;40.343207
-4.416095;40.377432
-4.416095;40.411640
-4.416095;40.445831
-4.416095;40.480004
-4.416095;40.514160
-4.416095;40.548298
-4.416095;40.582419
-4.416095;40.616522
-4.416095;40.650608
-4.416095;40.684677
-4.416095;40.718728
-4.416095;40.752762
-4.416095;40.786779
-4.416095;40.820778
-4.416095;40.854760
-4.416095;40.888724
-4.416095;40.922671
-4.416095;40.956600
-4.416095;40.990512
-4.371179;40.000000
-4.371179;40.034399
-4.371179;40.068780
-4.371179;40.103144
-4.371179;40.137491
